19o Coloq. Bras. Mat. = 19o Coloquio Brasileiro de Matematica
24o Coloq. Bras. Mat. = 24o Coloquio Brasileiro de Matematica
25o Coloq. Bras. Mat. = 25o Coloquio Brasileiro de Matematica
4OR = 4OR. Quarterly Journal of the Belgian, French and Italian Operations Research Societies
ACM J. Exp. Algorithmics = The ACM Journal of Experimental Algorithmics
ACM Trans. Algorithms = ACM Transactions on Algorithms
ACM Trans. Comput. Log. = ACM Transactions on Computational Logic
ACM Trans. Math. Software = Association for Computing Machinery. Transactions on Mathematical Software
AI Commun. = AI Communications. The European Journal on Artificial Intelligence
AIP Conf. Proc. = AIP Conference Proceedings
AKCE Int. J. Graphs Comb. = AKCE International Journal of Graphs and Combinatorics
ALEA Lat. Am. J. Probab. Math. Stat. = ALEA. Latin American Journal of Probability and Mathematical Statistics
AMA Algebra Montp. Announc. = AMA. Algebra Montpellier Announcements
AMRX Appl. Math. Res. Express = Applied Mathematics Research eXpress
AMS Short Course Lecture Notes = AMS Short Course Lecture Notes
AMS/IP Stud. Adv. Math. = AMS/IP Studies in Advanced Mathematics
ANZIAM J. = The ANZIAM Journal. The Australian & New Zealand Industrial and Applied Mathematics Journal
ASA-SIAM Ser. Stat. Appl. Probab. = ASA-SIAM Series on Statistics and Applied Probability
Aastaraam. Eesti Mat. Selts = Aastaraamat. Eesti Matemaatika Selts
Abh. Braunschw. Wiss. Ges. = Abhandlungen der Braunschweigischen Wissenschaftlichen Gesellschaft
Abh. Math. Sem. Univ. Hamburg = Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg
Abh. Sachs. Akad. Wiss. Leipzig Math.-Nat.wiss. Kl. = Abhandlungen der Sachsischen Akademie der Wissenschaften zu Leipzig. Mathematisch-Naturwissenschaftliche Klasse
Abstr. Appl. Anal. = Abstract and Applied Analysis
Abstracts Amer. Math. Soc. = Abstracts of Papers Presented to the American Mathematical Society
Acad. Roy. Belg. Bull. Cl. Sci. (6) = Academie Royale de Belgique. Bulletin de la Classe des Sciences. 6e Serie
Acad. Roy. Belg. Cl. Sci. Mem. Collect. 8o (3) = Academie Royale de Belgique. Classe des Sciences. Memoires. Collection in-8o. 3e Serie
Acta Acad. Paedagog. Agriensis Sect. Mat. (N.S.) = Acta Academiae Paedagogicae Agriensis. Nova Series. Sectio Matematicae
Acta Anal. Funct. Appl. = Acta Analysis Functionalis Applicata. AAFA. Yingyong Fanhanfenxi Xuebao
